City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Deputatsky,69.3,139.9,62.78,43,100,13.27,RU,1595135636
Bluff,-46.6,168.33,39.0,83,26,3.0,NZ,1595135621
Punta Arenas,-53.15,-70.92,33.8,80,99,18.34,CL,1595135464
Hobart,-42.88,147.33,60.01,54,40,5.82,AU,1595135525
Camacha,33.08,-16.33,69.8,83,40,11.41,PT,1595135996
Turukhansk,65.82,87.98,61.03,52,1,3.62,RU,1595135997
Ushuaia,-54.8,-68.3,30.2,100,90,8.05,AR,1595135600
Upernavik,72.79,-56.15,46.65,59,16,4.03,GL,1595135639
Atuona,-9.8,-139.03,79.07,79,44,16.73,PF,1595135615
Ondjiva,-17.07,15.73,43.75,60,0,6.55,AO,1595135998
Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1595135628
Kruisfontein,-34.0,24.73,47.8,82,0,3.49,ZA,1595135615
Coyhaique,-45.58,-72.07,33.8,95,90,2.24,CL,1595135654
Tasiilaq,65.61,-37.64,42.8,81,81,5.82,GL,1595135615
Kimbe,-5.55,150.14,84.79,67,32,3.94,PG,1595135999
Samagaltay,50.6,95.0,72.36,34,0,1.72,RU,1595136000
Lebu,-37.62,-73.65,52.81,88,100,12.8,CL,1595135626
George Town,5.41,100.34,87.8,83,20,1.12,MY,1595135559
Mutoko,-17.4,32.23,46.26,91,2,4.12,ZW,1595136000
Rikitea,-23.12,-134.97,70.7,75,83,16.17,PF,1595135617
Iwaki,37.05,140.88,88.0,58,40,3.36,JP,1595136001
Castro,-24.79,-50.01,55.89,93,0,3.29,BR,1595135647
Clarence Town,-32.58,151.78,68.0,45,0,17.22,AU,1595136002
Andros Town,24.7,-77.77,82.4,78,75,5.82,BS,1595136002
Flinders,-34.58,150.86,69.01,49,24,10.0,AU,1595135619
Hong Kong,22.29,114.16,90.0,66,98,15.99,HK,1595135510
Warrnambool,-38.38,142.48,50.0,88,65,10.0,AU,1595135765
Pevek,69.7,170.31,49.05,59,1,4.16,RU,1595135634
Sampit,-2.53,112.95,90.81,55,56,2.42,ID,1595136003
Husavik,66.04,-17.34,42.8,93,90,5.82,IS,1595135641
Inzhavino,52.32,42.49,64.4,75,75,6.33,RU,1595136003
Alexandria,31.22,29.96,77.0,73,0,8.05,EG,1595135660
Yeniseysk,58.45,92.17,72.01,41,90,1.77,RU,1595136004
Clyde River,70.47,-68.59,41.0,93,90,3.36,CA,1595135647
Puerto Ayora,-0.74,-90.35,70.0,92,86,7.0,EC,1595135621
Durusu,41.31,28.68,75.0,88,75,16.11,TR,1595136005
Giresun Province,40.5,38.5,77.0,78,75,1.12,TR,1595136005
Port Hardy,50.7,-127.42,59.0,93,90,3.36,CA,1595135627
New Smyrna Beach,29.03,-80.93,82.99,83,20,3.36,US,1595135784
Vaini,-21.2,-175.2,77.0,88,75,11.41,TO,1595135618
Havøysund,71.0,24.66,59.0,72,93,19.46,NO,1595136006
Nizwá,22.93,57.53,91.06,44,7,3.15,OM,1595135648
Saskylakh,71.92,114.08,54.3,57,56,10.58,RU,1595135635
Katsuura,35.13,140.3,86.0,75,65,5.99,JP,1595135630
Grindavik,63.84,-22.43,46.4,93,20,6.93,IS,1595136007
Mareeba,-17.0,145.43,77.0,50,33,9.17,AU,1595136007
Buta,2.79,24.73,68.79,98,100,2.13,CD,1595136008
Inhambane,-23.86,35.38,63.59,75,8,3.58,MZ,1595135632
Fairbanks,64.84,-147.72,63.0,77,75,4.7,US,1595135362
Cayenne,4.93,-52.33,75.2,100,75,2.24,GF,1595135651
Lüderitz,-26.65,15.16,59.0,33,0,1.12,NA,1595135639
Leningradskiy,69.38,178.42,41.88,72,8,9.86,RU,1595135628
Esmeraldas,-19.76,-44.31,57.2,87,0,10.29,BR,1595135736
Albany,42.6,-73.97,71.01,72,76,3.02,US,1595135599
Butaritari,3.07,172.79,82.96,76,48,14.18,KI,1595135616
Port Alfred,-33.59,26.89,57.38,79,0,7.16,ZA,1595135622
Vardø,70.37,31.11,51.1,88,95,8.5,NO,1595135616
Katima Mulilo,-17.5,24.27,35.6,69,0,1.12,NA,1595136010
Saldanha,-33.01,17.94,46.4,87,0,4.7,ZA,1595135625
Erzin,36.96,36.2,82.0,78,63,1.43,TR,1595136011
Bambous Virieux,-20.34,57.76,70.0,77,75,12.75,MU,1595135627
Ribeira Grande,38.52,-28.7,68.07,80,11,7.27,PT,1595135631
Hilo,19.73,-155.09,80.6,69,90,4.7,US,1595135619
Laramie,41.31,-105.59,69.8,37,1,11.41,US,1595136012
Preobrazheniye,42.9,133.91,72.72,66,20,9.82,RU,1595135667
Tuktoyaktuk,69.45,-133.04,41.0,93,90,11.41,CA,1595135618
Kandé,9.96,1.04,71.01,92,59,3.29,TG,1595136012
Honiara,-9.43,159.95,86.0,70,75,8.05,SB,1595136013
Vestmannaeyjar,63.44,-20.27,48.45,76,28,22.03,IS,1595136013
Barra de Tecoanapa,16.52,-98.75,80.51,84,30,3.06,MX,1595136013
Olafsvik,64.89,-23.71,47.1,76,15,6.04,IS,1595135638
Dawlatabad,36.41,64.91,96.66,11,0,4.32,AF,1595136014
Hermanus,-34.42,19.23,48.0,93,31,1.01,ZA,1595135615
Mount Isa,-20.73,139.5,82.4,10,0,10.29,AU,1595135613
Fortuna,40.6,-124.16,55.99,93,1,4.7,US,1595135618
Hithadhoo,-0.6,73.08,82.42,78,100,11.18,MV,1595135625
Bilma,18.69,12.92,83.01,40,83,7.63,NE,1595135639
Hamilton,39.18,-84.53,81.0,88,1,5.08,US,1595135656
Longyearbyen,78.22,15.64,44.6,93,75,9.17,SJ,1595135622
Kawalu,-7.38,108.21,83.89,57,49,5.39,ID,1595136016
Kahului,20.89,-156.47,86.0,55,20,25.28,US,1595135621
Plettenberg Bay,-34.05,23.37,54.79,74,4,2.93,ZA,1595136017
Bredasdorp,-34.53,20.04,48.2,93,71,3.36,ZA,1595135617
Quatre Cocos,-20.21,57.76,71.01,77,75,12.75,MU,1595135664
Arraial do Cabo,-22.97,-42.03,69.26,76,0,16.6,BR,1595135634
Khatanga,71.97,102.5,50.41,74,100,7.72,RU,1595135627
Jamestown,42.1,-79.24,70.0,88,1,6.93,US,1595135425
Mount Gambier,-37.83,140.77,50.0,81,40,23.04,AU,1595135622
Khanpur,28.65,70.66,105.91,32,0,16.13,PK,1595135869
Kapaa,22.08,-159.32,80.6,88,90,12.75,US,1595135420
Slave Lake,55.28,-114.77,62.6,72,75,4.7,CA,1595135657
Berlevåg,70.86,29.09,54.03,77,68,7.27,NO,1595136019
Mahébourg,-20.41,57.7,68.0,77,75,12.75,MU,1595135629
Ballina,-28.87,153.57,75.0,60,2,6.93,AU,1595136020
Bathsheba,13.22,-59.52,82.4,74,40,13.87,BB,1595135621
Hasaki,35.73,140.83,88.0,83,75,11.41,JP,1595135642
Touros,-5.2,-35.46,69.8,94,20,3.36,BR,1595135654
Berdigestyakh,62.1,126.7,76.89,45,97,2.06,RU,1595136021
Vestmanna,62.16,-7.17,48.2,87,79,11.41,FO,1595136021
Esperance,-33.87,121.9,53.6,93,40,10.33,AU,1595135641
Geraldton,-28.77,114.6,64.4,63,90,12.75,AU,1595135633
Provideniya,64.38,-173.3,49.41,67,11,4.68,RU,1595135638
Ixtapa,20.7,-105.2,78.8,78,90,8.05,MX,1595135634
Roald,62.58,6.13,59.0,58,1,11.41,NO,1595136022
Constitución,-35.33,-72.42,54.7,91,87,9.95,CL,1595135646
Quesnel,53.0,-122.5,59.0,100,40,4.12,CA,1595136023
Airai,-8.93,125.41,73.67,45,0,4.09,TL,1595135618
Rawson,-43.3,-65.1,45.28,82,99,10.69,AR,1595135390
Cabo San Lucas,22.89,-109.91,84.0,73,41,7.74,MX,1595135352
Busselton,-33.65,115.33,59.0,75,100,2.51,AU,1595135615
Kumluca,36.37,30.29,83.3,50,0,1.68,TR,1595135630
São Filipe,14.9,-24.5,76.42,75,20,1.48,CV,1595135637
Xingcheng,40.62,120.72,73.76,79,100,13.71,CN,1595136024
