City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Iqaluit,63.75,-68.51,50.0,100,75,8.25,CA,1595117717
Vyartsilya,62.18,30.69,58.62,76,38,2.17,RU,1595117717
Avila,40.58,-5.0,66.99,31,0,2.13,ES,1595117718
Gayéri,12.65,0.49,81.01,69,66,8.97,BF,1595117718
Sobolevo,54.43,31.9,54.54,85,9,4.12,RU,1595117718
East London,-33.02,27.91,62.89,54,0,9.69,ZA,1595117718
Norman Wells,65.28,-126.83,69.8,64,75,10.29,CA,1595117718
Hualmay,-11.1,-77.61,60.08,82,16,8.25,PE,1595117719
Rikitea,-23.12,-134.97,71.46,80,37,15.59,PF,1595117719
Qaanaaq,77.48,-69.36,48.92,67,91,2.15,GL,1595117719
Guerrero Negro,27.98,-114.06,77.61,53,0,18.95,MX,1595117719
Cidreira,-30.18,-50.21,65.43,88,0,9.57,BR,1595117720
Arlit,18.74,7.39,91.06,31,21,11.1,NE,1595117720
Verkhnevilyuysk,63.45,120.32,65.8,61,44,5.19,RU,1595117720
Oga,46.46,10.35,53.6,93,9,3.36,IT,1595117721
Cherskiy,68.75,161.3,66.97,54,0,6.24,RU,1595117721
Cape Town,-33.93,18.42,54.0,100,0,5.82,ZA,1595117721
Tabas,33.6,56.92,89.6,19,0,4.7,IR,1595117722
Dikson,73.51,80.55,39.58,94,100,6.29,RU,1595117722
Albany,42.6,-73.97,84.99,58,43,3.38,US,1595117459
Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1595117722
Ushuaia,-54.8,-68.3,32.0,95,75,5.82,AR,1595117723
Walvis Bay,-22.96,14.51,68.0,14,0,13.87,NA,1595117723
Kapaa,22.08,-159.32,88.0,74,1,11.41,US,1595117723
Busselton,-33.65,115.33,52.0,80,72,3.8,AU,1595117723
Zatoka,46.07,30.47,69.8,73,19,4.47,UA,1595117724
Bredasdorp,-34.53,20.04,53.6,93,1,3.36,ZA,1595117724
Hong Kong,22.29,114.16,87.01,70,79,10.0,HK,1595117533
Kaihua,23.37,104.28,68.18,87,100,4.85,CN,1595117725
Punta Arenas,-53.15,-70.92,33.8,86,90,16.11,CL,1595117474
Vaini,-21.2,-175.2,78.8,88,75,14.99,TO,1595117725
Carnarvon,-24.87,113.63,51.8,87,0,13.87,AU,1595117726
Fort-Shevchenko,44.51,50.26,81.3,65,0,9.31,KZ,1595117726
Meulaboh,4.14,96.13,77.22,83,90,3.96,ID,1595117726
Sibolga,1.74,98.78,76.23,76,98,3.11,ID,1595117726
Tasiilaq,65.61,-37.64,44.6,75,13,4.7,GL,1595117727
Tiksi,71.69,128.87,49.77,99,100,8.59,RU,1595117727
Khatanga,71.97,102.5,49.08,73,99,4.79,RU,1595117727
Talnakh,69.49,88.4,51.8,87,42,6.71,RU,1595117727
Lengshuitan,26.41,111.6,82.98,73,100,12.01,CN,1595117728
